movie,director,m_year,critic,crit_org,crit_cn
The Congress,Ari Folman,2013,Michael Arbeiter,Nerdist,US
The Master,Paul Thomas Anderson,2012,Ali Arikan,Dipnot TV,Turkey
25th Hour,Spike Lee,2002,Ali Arikan,Dipnot TV,Turkey
24 Hour Party People,Michael Winterbottom,2002,Ali Arikan,Dipnot TV,Turkey
Mulholland Drive,David Lynch,2001,Ali Arikan,Dipnot TV,Turkey
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,Ali Arikan,Dipnot TV,Turkey
Zodiac,David Fincher,2007,Ali Arikan,Dipnot TV,Turkey
A Serious Man,Joel and Ethan Coen,2009,Ali Arikan,Dipnot TV,Turkey
Tinker Tailor Soldier Spy,Tomas Alfredson,2011,Ali Arikan,Dipnot TV,Turkey
Primer,Shane Carruth,2004,Ali Arikan,Dipnot TV,Turkey
In the Mood for Love,Wong Kar-wai,2000,Ali Arikan,Dipnot TV,Turkey
"La commune (Paris, 1871)",Peter Watkins,2000,Michael Atkinson,The Village Voice,US
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,Michael Atkinson,The Village Voice,US
2046,Wong Kar-wai,2004,Michael Atkinson,The Village Voice,US
Adaptation,Spike Jonze,2002,Michael Atkinson,The Village Voice,US
Battle in Heaven,Carlos Reygadas,2005,Michael Atkinson,The Village Voice,US
Caché,Michael Haneke,2005,Michael Atkinson,The Village Voice,US
Inland Empire,David Lynch,2006,Michael Atkinson,The Village Voice,US
Mulholland Drive,David Lynch,2001,Michael Atkinson,The Village Voice,US
Mysteries of Lisbon,Raoul Ruiz,2010,Michael Atkinson,The Village Voice,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Michael Atkinson,The Village Voice,US
There Will Be Blood,Paul Thomas Anderson,2007,Ana Maria Bahiana,Freelance film critic,Brazil
Mulholland Drive,David Lynch,2001,Ana Maria Bahiana,Freelance film critic,Brazil
Children of Men,Alfonso Cuarón,2006,Ana Maria Bahiana,Freelance film critic,Brazil
City of God,Fernando Meirelles and Kátia Lund,2002,Ana Maria Bahiana,Freelance film critic,Brazil
Pan's Labyrinth,Guillermo Del Toro,2006,Ana Maria Bahiana,Freelance film critic,Brazil
Inception,Christopher Nolan,2010,Ana Maria Bahiana,Freelance film critic,Brazil
The Incredibles,Brad Bird,2004,Ana Maria Bahiana,Freelance film critic,Brazil
Birdman,Alejandro González Iñárritu,2014,Ana Maria Bahiana,Freelance film critic,Brazil
No Country For Old Men,Joel and Ethan Coen,2007,Ana Maria Bahiana,Freelance film critic,Brazil
Brokeback Mountain,Ang Lee,2005,Ana Maria Bahiana,Freelance film critic,Brazil
In the Mood for Love,Wong Kar-wai,2000,Cameron Bailey,Toronto Film Festival,Canada
12 Years a Slave,Steve McQueen,2013,Cameron Bailey,Toronto Film Festival,Canada
Spirited Away,Hayao Miyazaki,2001,Cameron Bailey,Toronto Film Festival,Canada
Fish Tank,Andrea Arnold,2009,Cameron Bailey,Toronto Film Festival,Canada
Mommy,Xavier Dolan,2014,Cameron Bailey,Toronto Film Festival,Canada
Talk to Her,Pedro Almodóvar,2002,Cameron Bailey,Toronto Film Festival,Canada
Timbuktu,Abderrahmane Sissako,2014,Cameron Bailey,Toronto Film Festival,Canada
Selma,Ava DuVernay,2014,Cameron Bailey,Toronto Film Festival,Canada
The White Ribbon,Michael Haneke,2009,Cameron Bailey,Toronto Film Festival,Canada
The Headless Woman,Lucrecia Martel,2008,Cameron Bailey,Toronto Film Festival,Canada
The Royal Tenenbaums,Wes Anderson,2001,Lindsay Baker,BBC Culture,UK
Far From Heaven,Todd Haynes,2002,Lindsay Baker,BBC Culture,UK
Moonrise Kingdom,Wes Anderson,2012,Lindsay Baker,BBC Culture,UK
Lost in Translation,Sofia Coppola,2003,Lindsay Baker,BBC Culture,UK
A Single Man,Tom Ford,2009,Lindsay Baker,BBC Culture,UK
Spirited Away,Hayao Miyazaki,2001,Lindsay Baker,BBC Culture,UK
Toy Story 3,Lee Unkrich,2010,Lindsay Baker,BBC Culture,UK
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Lindsay Baker,BBC Culture,UK
I Am Love,Luca Guadagnino,2009,Lindsay Baker,BBC Culture,UK
Donnie Darko,Richard Kelly,2001,Lindsay Baker,BBC Culture,UK
Inherent Vice,Paul Thomas Anderson,2014,Miriam Bale,Freelance film critic,US
Film socialisme,Jean-Luc Godard,2010,Miriam Bale,Freelance film critic,US
A History of Violence,David Cronenberg,2005,Miriam Bale,Freelance film critic,US
This Is the End,Evan Goldberg and Seth Rogen,2013,Miriam Bale,Freelance film critic,US
Somewhere,Sofia Coppola,2010,Miriam Bale,Freelance film critic,US
Holy Motors,Leos Carax,2012,Miriam Bale,Freelance film critic,US
Almayer's Folly,Chantal Akerman,2011,Miriam Bale,Freelance film critic,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Miriam Bale,Freelance film critic,US
The Story of Marie and Julien,Jacques Rivette,2003,Miriam Bale,Freelance film critic,US
Bamboozled,Spike Lee,2000,Miriam Bale,Freelance film critic,US
Boyhood,Richard Linklater,2014,Nicholas Barber,BBC Culture,UK
Under the Skin,Jonathan Glazer,2013,Nicholas Barber,BBC Culture,UK
Anomalisa,Duke Johnson and Charlie Kaufman,2015,Nicholas Barber,BBC Culture,UK
12 Years a Slave,Steve McQueen,2013,Nicholas Barber,BBC Culture,UK
Madagascar 3: Europe's Most Wanted,"Eric Darnell, Tom McGrath and Conrad Vernon",2012,Nicholas Barber,BBC Culture,UK
Another Year,Mike Leigh,2010,Nicholas Barber,BBC Culture,UK
The Diving Bell and the Butterfly,Julian Schnabel,2007,Nicholas Barber,BBC Culture,UK
Children of Men,Alfonso Cuarón,2006,Nicholas Barber,BBC Culture,UK
The Social Network,David Fincher,2010,Nicholas Barber,BBC Culture,UK
A Separation,Asghar Farhadi,2011,Nicholas Barber,BBC Culture,UK
WALL-E,Andrew Stanton,2008,Diego Batlle,La Nacion,Argentina
In the Mood for Love,Wong Kar-wai,2000,Diego Batlle,La Nacion,Argentina
Spirited Away,Hayao Miyazaki,2001,Diego Batlle,La Nacion,Argentina
Boyhood,Richard Linklater,2014,Diego Batlle,La Nacion,Argentina
The Son's Room,Nanni Moretti,2001,Diego Batlle,La Nacion,Argentina
Extraordinary Stories,Mariano Llinás,2008,Diego Batlle,La Nacion,Argentina
Mulholland Drive,David Lynch,2001,Diego Batlle,La Nacion,Argentina
The Social Network,David Fincher,2010,Diego Batlle,La Nacion,Argentina
Elephant,Gus Van Sant,2003,Diego Batlle,La Nacion,Argentina
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,Diego Batlle,La Nacion,Argentina
Mulholland Drive,David Lynch,2001,NT Binh,Positif,France
Talk to Her,Pedro Almodóvar,2002,NT Binh,Positif,France
The Assassin,Hou Hsiao-hsien,2015,NT Binh,Positif,France
Million Dollar Baby,Clint Eastwood,2004,NT Binh,Positif,France
In the Mood for Love,Wong Kar-wai,2000,NT Binh,Positif,France
Leviathan,Andrey Zvyagintsev,2014,NT Binh,Positif,France
A Touch of Sin,Jia Zhangke,2013,NT Binh,Positif,France
Distant,Nuri Bilge Ceylan,2002,NT Binh,Positif,France
The New World,Terrence Malick,2005,NT Binh,Positif,France
A Prophet,Jacques Audiard,2009,NT Binh,Positif,France
Timbuktu,Abderrahmane Sissako,2014,Lizelle Bisschoff,University of Glasgow,UK
Blue Is the Warmest Color,Abdellatif Kechiche,2013,Lizelle Bisschoff,University of Glasgow,UK
Moolaadé,Ousmane Sembèène,2004,Lizelle Bisschoff,University of Glasgow,UK
A Separation,Asghar Farhadi,2011,Lizelle Bisschoff,University of Glasgow,UK
The Secret in Their Eyes,Juan José Campanella,2009,Lizelle Bisschoff,University of Glasgow,UK
Oldboy,Park Chan-wook,2003,Lizelle Bisschoff,University of Glasgow,UK
In the Mood for Love,Wong Kar-wai,2000,Lizelle Bisschoff,University of Glasgow,UK
Fat Girl,Catherine Breillat,2001,Lizelle Bisschoff,University of Glasgow,UK
The Orphanage,J. A. Bayona,2007,Lizelle Bisschoff,University of Glasgow,UK
The Hunt,Thomas Vinterberg,2012,Lizelle Bisschoff,University of Glasgow,UK
Spring Breakers,Harmony Korine,2012,Christian Blauvelt,BBC Culture,US
My Winnipeg,Guy Maddin,2007,Christian Blauvelt,BBC Culture,US
The Ghost Writer,Roman Polanski,2010,Christian Blauvelt,BBC Culture,US
Moulin Rouge!,Baz Luhrmann,2001,Christian Blauvelt,BBC Culture,US
Star Wars: Episode III – Revenge of the Sith,George Lucas,2005,Christian Blauvelt,BBC Culture,US
Manakamana,Pacho Velez and Stephanie Spray,2013,Christian Blauvelt,BBC Culture,US
The Curious Case of Benjamin Button,David Fincher,2008,Christian Blauvelt,BBC Culture,US
"You, The Living",Roy Andersson,2007,Christian Blauvelt,BBC Culture,US
Mother,Bong Joon-ho,2009,Christian Blauvelt,BBC Culture,US
A Serious Man,Joel and Ethan Coen,2009,Christian Blauvelt,BBC Culture,US
Moolaadé,Ousmane Sembène,2004,Mahen Bonetti,African Film Festival Inc,US
Timbuktu,Abderrahmane Sissako,2014,Mahen Bonetti,African Film Festival Inc,US
Cuba: An African Odyssey,Jihan El-Tahri,2007,Mahen Bonetti,African Film Festival Inc,US
"Sexe, gombo et beurre salé",Mahamat-Saleh Haroun,2008,Mahen Bonetti,African Film Festival Inc,US
Shoot the Messenger,Ngozi Onwurah,2006,Mahen Bonetti,African Film Festival Inc,US
Red Leaves,Bazi Gete,2014,Mahen Bonetti,African Film Festival Inc,US
The Colonial Misunderstanding,Jean-Marie Téno,2004,Mahen Bonetti,African Film Festival Inc,US
Restless City,Andrew Dosunmu,2011,Mahen Bonetti,African Film Festival Inc,US
Conversations on a Sunday Afternoon,Khalo Matabane,2005,Mahen Bonetti,African Film Festival Inc,US
Belle,Amma Asante,2013,Mahen Bonetti,African Film Festival Inc,US
Requiem for a Dream,Darren Aronofsky,2000,Andreas Borcholte,Spiegel Online,Germany
Antichrist,Lars von Trier,2009,Andreas Borcholte,Spiegel Online,Germany
Children of Men,Alfonso Cuarón,2006,Andreas Borcholte,Spiegel Online,Germany
The Child,Jean-Pierre and Luc Dardenne,2005,Andreas Borcholte,Spiegel Online,Germany
No Country For Old Men,Joel and Ethan Coen,2007,Andreas Borcholte,Spiegel Online,Germany
Fish Tank,Andrea Arnold,2009,Andreas Borcholte,Spiegel Online,Germany
The Tree of Life,Terrence Malick,2011,Andreas Borcholte,Spiegel Online,Germany
Inception,Christopher Nolan,2010,Andreas Borcholte,Spiegel Online,Germany
Kill Bill: Vol. 1,Quentin Tarantino,2003,Andreas Borcholte,Spiegel Online,Germany
Irreversible,Gaspar Noé,2002,Andreas Borcholte,Spiegel Online,Germany
Amour,Michael Haneke,2012,Utpal Borpujari,Freelance film critic,India
A Separation,Asghar Farhadi,2011,Utpal Borpujari,Freelance film critic,India
In the Mood for Love,Wong Kar-wai,2000,Utpal Borpujari,Freelance film critic,India
A Prophet,Jacques Audiard,2009,Utpal Borpujari,Freelance film critic,India
Monsoon Wedding,Mira Nair,2001,Utpal Borpujari,Freelance film critic,India
Son of Saul,László Nemes,2015,Utpal Borpujari,Freelance film critic,India
Thithi,Raam Reddy,2015,Utpal Borpujari,Freelance film critic,India
Blue Is the Warmest Color,Abdellatif Kechiche,2013,Utpal Borpujari,Freelance film critic,India
No Man's Land,Danis Tanovic,2001,Utpal Borpujari,Freelance film critic,India
Waltz with Bashir,Ari Folman,2008,Utpal Borpujari,Freelance film critic,India
In Praise of Love,Jean-Luc Godard,2001,Richard Brody,The New Yorker,US
The Wolf of Wall Street,Martin Scorsese,2013,Richard Brody,The New Yorker,US
The Last of the Unjust,Claude Lanzmann,2013,Richard Brody,The New Yorker,US
Like Someone In Love,Abbas Kiarostami,2012,Richard Brody,The New Yorker,US
The Grand Budapest Hotel,Wes Anderson,2014,Richard Brody,The New Yorker,US
Butter on the Latch,Josephine Decker,2013,Richard Brody,The New Yorker,US
Heaven Knows What,Josh and Benny Safdie,2014,Richard Brody,The New Yorker,US
The Future,Miranda July,2011,Richard Brody,The New Yorker,US
Holy Motors,Leos Carax,2012,Richard Brody,The New Yorker,US
Coma,Sara Fattahi,2015,Richard Brody,The New Yorker,US
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Hannah Brown,Jerusalem Post,Israel
The Royal Tenenbaums,Wes Anderson,2001,Hannah Brown,Jerusalem Post,Israel
No Country For Old Men,Joel and Ethan Coen,2007,Hannah Brown,Jerusalem Post,Israel
Waltz with Bashir,Ari Folman,2008,Hannah Brown,Jerusalem Post,Israel
The Matchmaker,Avi Nesher,2010,Hannah Brown,Jerusalem Post,Israel
Footnote,Joseph Cedar,2011,Hannah Brown,Jerusalem Post,Israel
The Son,Jean-Pierre and Luc Dardenne,2002,Hannah Brown,Jerusalem Post,Israel
In the Mood for Love,Wong Kar-wai,2000,Hannah Brown,Jerusalem Post,Israel
You Can Count On Me,Kenneth Lonergan,2000,Hannah Brown,Jerusalem Post,Israel
Yossi & Jagger,Eytan Fox,2002,Hannah Brown,Jerusalem Post,Israel
Mulholland Drive,David Lynch,2001,Luke Buckmaster,The Guardian/BBC Culture,Australia
There Will Be Blood,Paul Thomas Anderson,2007,Luke Buckmaster,The Guardian/BBC Culture,Australia
"O Brother, Where Art Thou?",Joel and Ethan Coen,2000,Luke Buckmaster,The Guardian/BBC Culture,Australia
Spirited Away,Hayao Miyazaki,2001,Luke Buckmaster,The Guardian/BBC Culture,Australia
Children of Men,Alfonso Cuarón,2006,Luke Buckmaster,The Guardian/BBC Culture,Australia
In the Mood for Love,Wong Kar-wai,2000,Luke Buckmaster,The Guardian/BBC Culture,Australia
The Babadook,Jennifer Kent,2014,Luke Buckmaster,The Guardian/BBC Culture,Australia
A Separation,Asghar Farhadi,2011,Luke Buckmaster,The Guardian/BBC Culture,Australia
Caché,Michael Haneke,2005,Luke Buckmaster,The Guardian/BBC Culture,Australia
Boyhood,Richard Linklater,2014,Luke Buckmaster,The Guardian/BBC Culture,Australia
The White Ribbon,Michael Haneke,2009,Luciano Castillo,Cinemateca de Cuba,Cuba
In the Mood for Love,Wong Kar-wai,2000,Luciano Castillo,Cinemateca de Cuba,Cuba
"Spring, Summer, Fall, Winter…and Spring",Kim Ki-duk,2003,Luciano Castillo,Cinemateca de Cuba,Cuba
Melancholia,Lars von Trier,2011,Luciano Castillo,Cinemateca de Cuba,Cuba
Elephant,Gus Van Sant,2003,Luciano Castillo,Cinemateca de Cuba,Cuba
Russian Ark,Aleksandr Sokurov,2002,Luciano Castillo,Cinemateca de Cuba,Cuba
City of God,Fernando Meirelles and Kátia Lund,2002,Luciano Castillo,Cinemateca de Cuba,Cuba
A Prophet,Jacques Audiard,2009,Luciano Castillo,Cinemateca de Cuba,Cuba
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Luciano Castillo,Cinemateca de Cuba,Cuba
Inside Out,Pete Docter,2015,Luciano Castillo,Cinemateca de Cuba,Cuba
Inside Llewyn Davis,Joel and Ethan Coen,2013,Monica Castillo,New York Times Watching,US
Persepolis,Vincent Paronnaud and Marjane Satrapi,2007,Monica Castillo,New York Times Watching,US
Fish Tank,Andrea Arnold,2009,Monica Castillo,New York Times Watching,US
Pan's Labyrinth,Guillermo Del Toro,2006,Monica Castillo,New York Times Watching,US
In the Mood for Love,Wong Kar-wai,2000,Monica Castillo,New York Times Watching,US
Spirited Away,Hayao Miyazaki,2001,Monica Castillo,New York Times Watching,US
Mad Max: Fury Road,George Miller,2015,Monica Castillo,New York Times Watching,US
Attack the Block,Joe Cornish,2011,Monica Castillo,New York Times Watching,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Monica Castillo,New York Times Watching,US
The Royal Tenenbaums,Wes Anderson,2001,Monica Castillo,New York Times Watching,US
The Secret in Their Eyes,Juan José Campanella,2009,Samuel Castro,El Colombiano,Colombia
Before Sunset,Richard Linklater,2004,Samuel Castro,El Colombiano,Colombia
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Samuel Castro,El Colombiano,Colombia
Ratatouille,Brad Bird and Jan Pinkava,2007,Samuel Castro,El Colombiano,Colombia
Stories We Tell,Sarah Polley,2012,Samuel Castro,El Colombiano,Colombia
Pan's Labyrinth,Guillermo Del Toro,2006,Samuel Castro,El Colombiano,Colombia
Amores Perros,Alejandro González Iñárritu,2000,Samuel Castro,El Colombiano,Colombia
A Separation,Asghar Farhadi,2011,Samuel Castro,El Colombiano,Colombia
Minority Report,Steven Spielberg,2002,Samuel Castro,El Colombiano,Colombia
Moulin Rouge!,Baz Luhrmann,2001,Samuel Castro,El Colombiano,Colombia
Mulholland Drive,David Lynch,2001,Justin Chang,Los Angeles Times,US
The Tree of Life,Terrence Malick,2011,Justin Chang,Los Angeles Times,US
In the Mood for Love,Wong Kar-wai,2000,Justin Chang,Los Angeles Times,US
Boyhood,Richard Linklater,2014,Justin Chang,Los Angeles Times,US
Secret Sunshine,Lee Chang-dong,2007,Justin Chang,Los Angeles Times,US
Zodiac,David Fincher,2007,Justin Chang,Los Angeles Times,US
The Dark Knight,Christopher Nolan,2008,Justin Chang,Los Angeles Times,US
The Son,Jean-Pierre and Luc Dardenne,2002,Justin Chang,Los Angeles Times,US
Brokeback Mountain,Ang Lee,2005,Justin Chang,Los Angeles Times,US
35 Shots of Rum,Claire Denis,2008,Justin Chang,Los Angeles Times,US
The Three Burials of Melquiades Estrada,Tommy Lee Jones,2005,Enrico Chiesa,AfricaFilms.TV,Senegal
There Will Be Blood,Paul Thomas Anderson,2007,Enrico Chiesa,AfricaFilms.TV,Senegal
A Separation,Asghar Farhadi,2011,Enrico Chiesa,AfricaFilms.TV,Senegal
Birdman,Alejandro González Iñárritu,2014,Enrico Chiesa,AfricaFilms.TV,Senegal
The Blind Swordsman: Zatoichi,Takeshi Kitano,2003,Enrico Chiesa,AfricaFilms.TV,Senegal
Mommy,Xavier Dolan,2014,Enrico Chiesa,AfricaFilms.TV,Senegal
Dancer in the Dark,Lars von Trier,2000,Enrico Chiesa,AfricaFilms.TV,Senegal
Tey,Alain Gomis,2012,Enrico Chiesa,AfricaFilms.TV,Senegal
Sweet Sixteen,Ken Loach,2002,Enrico Chiesa,AfricaFilms.TV,Senegal
Ezra,Newton I. Aduaka,2007,Enrico Chiesa,AfricaFilms.TV,Senegal
No Country For Old Men,Joel and Ethan Coen,2007,Cho Seongyong,Freelance film critic,South Korea
Boyhood,Richard Linklater,2014,Cho Seongyong,Freelance film critic,South Korea
Mulholland Drive,David Lynch,2001,Cho Seongyong,Freelance film critic,South Korea
Almost Famous,Cameron Crowe,2000,Cho Seongyong,Freelance film critic,South Korea
"Synecdoche, New York",Charlie Kaufman,2008,Cho Seongyong,Freelance film critic,South Korea
Pan's Labyrinth,Guillermo Del Toro,2006,Cho Seongyong,Freelance film critic,South Korea
Minority Report,Steven Spielberg,2002,Cho Seongyong,Freelance film critic,South Korea
The Social Network,David Fincher,2010,Cho Seongyong,Freelance film critic,South Korea
The Tree of Life,Terrence Malick,2011,Cho Seongyong,Freelance film critic,South Korea
Memories of Murder,Bong Joon-ho,2003,Cho Seongyong,Freelance film critic,South Korea
Mulholland Drive,David Lynch,2001,Robbie Collin,The Telegraph,UK
Tropical Malady,Apichatpong Weerasethakul,2004,Robbie Collin,The Telegraph,UK
Spirited Away,Hayao Miyazaki,2001,Robbie Collin,The Telegraph,UK
Under the Skin,Jonathan Glazer,2013,Robbie Collin,The Telegraph,UK
Hard to Be a God,Aleksey German,2013,Robbie Collin,The Telegraph,UK
Mad Max: Fury Road,George Miller,2015,Robbie Collin,The Telegraph,UK
There Will Be Blood,Paul Thomas Anderson,2007,Robbie Collin,The Telegraph,UK
Lost in Translation,Sofia Coppola,2003,Robbie Collin,The Telegraph,UK
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,2006,Robbie Collin,The Telegraph,UK
"You, The Living",Roy Andersson,2007,Robbie Collin,The Telegraph,UK
Mad Max: Fury Road,George Miller,2015,Scott Collura,IGN,US
Lost in Translation,Sofia Coppola,2003,Scott Collura,IGN,US
Let the Right One In,Tomas Alfredson,2008,Scott Collura,IGN,US
Spring Breakers,Harmony Korine,2012,Scott Collura,IGN,US
Children of Men,Alfonso Cuarón,2006,Scott Collura,IGN,US
World of Tomorrow,Don Hertzfeldt,2015,Scott Collura,IGN,US
Ex Machina,Alex Garland,2015,Scott Collura,IGN,US
The Avengers,Joss Whedon,2012,Scott Collura,IGN,US
Her,Spike Jonze,2013,Scott Collura,IGN,US
Kill Bill: Vol. 2,Quentin Tarantino,2004,Scott Collura,IGN,US
Yi Yi: A One and a Two,Edward Yang,2000,Colin Covert,Minneapolis Star-Tribune,US
Mulholland Drive,David Lynch,2001,Colin Covert,Minneapolis Star-Tribune,US
Children of Men,Alfonso Cuarón,2006,Colin Covert,Minneapolis Star-Tribune,US
Manchester by the Sea,Kenneth Lonergan,2016,Colin Covert,Minneapolis Star-Tribune,US
Adaptation,Spike Jonze,2002,Colin Covert,Minneapolis Star-Tribune,US
The Host,Bong Joon-ho,2006,Colin Covert,Minneapolis Star-Tribune,US
District 9,Neill Blomkamp,2009,Colin Covert,Minneapolis Star-Tribune,US
City of God,Fernando Meirelles and Kátia Lund,2002,Colin Covert,Minneapolis Star-Tribune,US
